module,problem_id,variant,tests_passed,tests_total,line_coverage,branch_coverage,lines_in_function,lines_executed,status
Claude_CoT,1079,solve_1079_v1,0,2,90.0,72.0,20,18,FAIL
Claude_CoT,1079,solve_1079_v2,0,2,86.36,69.09,22,19,FAIL
Claude_CoT,1079,solve_1079_v3,0,2,92.86,74.29,14,13,FAIL
Claude_CoT,1303,solve_1303_v1,2,2,100.0,80.0,24,24,PASS
Claude_CoT,1303,solve_1303_v2,2,2,93.75,75.0,16,15,PASS
Claude_CoT,1303,solve_1303_v3,2,2,100.0,80.0,18,18,PASS
Claude_CoT,203,solve_203_v1,2,2,85.71,68.57,28,24,PASS
Claude_CoT,203,solve_203_v2,2,2,83.33,66.67,24,20,PASS
Claude_CoT,203,solve_203_v3,2,2,84.62,67.69,26,22,PASS
Claude_CoT,3040,solve_3040_v1,0,2,100.0,80.0,13,13,FAIL
Claude_CoT,3040,solve_3040_v2,2,2,92.31,73.85,13,12,PASS
Claude_CoT,3040,solve_3040_v3,2,2,94.44,75.56,18,17,PASS
Claude_CoT,3177,solve_3177_v1,2,2,96.15,76.92,26,25,PASS
Claude_CoT,3177,solve_3177_v2,2,2,95.83,76.67,24,23,PASS
Claude_CoT,3177,solve_3177_v3,2,2,95.24,76.19,21,20,PASS
Claude_CoT,4245,solve_4245_v1,2,2,83.33,66.67,6,5,PASS
Claude_CoT,4245,solve_4245_v2,2,2,100.0,80.0,8,8,PASS
Claude_CoT,4245,solve_4245_v3,2,2,100.0,80.0,4,4,PASS
Claude_CoT,4559,solve_4559_v1,2,2,100.0,80.0,13,13,PASS
Claude_CoT,4559,solve_4559_v2,0,2,92.31,73.85,13,12,FAIL
Claude_CoT,4559,solve_4559_v3,0,2,92.31,73.85,13,12,FAIL
Claude_CoT,4655,solve_4655_v1,0,2,100.0,80.0,9,9,FAIL
Claude_CoT,4655,solve_4655_v2,2,2,100.0,80.0,9,9,PASS
Claude_CoT,4655,solve_4655_v3,0,2,100.0,80.0,8,8,FAIL
Claude_CoT,747,solve_747_v1,0,2,100.0,80.0,22,22,FAIL
Claude_CoT,747,solve_747_v2,0,2,100.0,80.0,21,21,FAIL
Claude_CoT,747,solve_747_v3,0,2,95.45,76.36,22,21,FAIL
Claude_CoT,771,solve_771_v1,0,2,100.0,80.0,14,14,FAIL
Claude_CoT,771,solve_771_v2,2,2,100.0,80.0,11,11,PASS
Claude_CoT,771,solve_771_v3,0,2,100.0,80.0,12,12,FAIL
Claude_SelfDebug,1079,solve_1079_v1,0,2,93.75,75.0,16,15,FAIL
Claude_SelfDebug,1079,solve_1079_v2,0,2,92.86,74.29,14,13,FAIL
Claude_SelfDebug,1079,solve_1079_v3,0,2,100.0,80.0,9,9,FAIL
Claude_SelfDebug,1303,solve_1303_v1,2,2,88.89,71.11,27,24,PASS
Claude_SelfDebug,1303,solve_1303_v2,2,2,90.0,72.0,20,18,PASS
Claude_SelfDebug,1303,solve_1303_v3,2,2,84.62,67.69,26,22,PASS
Claude_SelfDebug,203,solve_203_v1,2,2,77.78,62.22,36,28,PASS
Claude_SelfDebug,203,solve_203_v2,2,2,72.0,57.6,25,18,PASS
Claude_SelfDebug,203,solve_203_v3,2,2,78.12,62.5,32,25,PASS
Claude_SelfDebug,3040,solve_3040_v1,0,2,90.0,72.0,20,18,FAIL
Claude_SelfDebug,3040,solve_3040_v2,2,2,86.67,69.33,15,13,PASS
Claude_SelfDebug,3040,solve_3040_v3,2,2,87.5,70.0,16,14,PASS
Claude_SelfDebug,3177,solve_3177_v1,2,2,71.43,57.14,35,25,PASS
Claude_SelfDebug,3177,solve_3177_v2,2,2,69.7,55.76,33,23,PASS
Claude_SelfDebug,3177,solve_3177_v3,2,2,71.88,57.5,32,23,PASS
Claude_SelfDebug,4245,solve_4245_v1,2,2,83.33,66.67,6,5,PASS
Claude_SelfDebug,4245,solve_4245_v2,2,2,100.0,80.0,4,4,PASS
Claude_SelfDebug,4245,solve_4245_v3,2,2,87.5,70.0,8,7,PASS
Claude_SelfDebug,4559,solve_4559_v1,0,2,75.0,60.0,16,12,FAIL
Claude_SelfDebug,4559,solve_4559_v2,2,2,100.0,80.0,13,13,PASS
Claude_SelfDebug,4559,solve_4559_v3,0,2,75.0,60.0,16,12,FAIL
Claude_SelfDebug,4655,solve_4655_v1,2,2,100.0,80.0,9,9,PASS
Claude_SelfDebug,4655,solve_4655_v2,2,2,100.0,80.0,8,8,PASS
Claude_SelfDebug,4655,solve_4655_v3,2,2,100.0,80.0,8,8,PASS
Claude_SelfDebug,747,solve_747_v1,0,2,84.62,67.69,26,22,FAIL
Claude_SelfDebug,747,solve_747_v2,0,2,81.48,65.19,27,22,FAIL
Claude_SelfDebug,747,solve_747_v3,0,2,73.08,58.46,26,19,FAIL
Claude_SelfDebug,771,solve_771_v1,0,2,87.5,70.0,16,14,FAIL
Claude_SelfDebug,771,solve_771_v2,0,2,85.71,68.57,14,12,FAIL
Claude_SelfDebug,771,solve_771_v3,2,2,84.62,67.69,13,11,PASS
GPT_CoT,1079,solve_1079_v1,2,2,90.48,72.38,21,19,PASS
GPT_CoT,1079,solve_1079_v2,2,2,85.19,68.15,27,23,PASS
GPT_CoT,1079,solve_1079_v3,2,2,92.59,74.07,27,25,PASS
GPT_CoT,1303,solve_1303_v1,2,2,100.0,80.0,16,16,PASS
GPT_CoT,1303,solve_1303_v2,2,2,100.0,80.0,30,30,PASS
GPT_CoT,1303,solve_1303_v3,2,2,100.0,80.0,16,16,PASS
GPT_CoT,203,solve_203_v1,2,2,93.33,74.67,15,14,PASS
GPT_CoT,203,solve_203_v2,2,2,86.36,69.09,22,19,PASS
GPT_CoT,203,solve_203_v3,0,2,86.96,69.57,23,20,FAIL
GPT_CoT,3040,solve_3040_v1,2,2,100.0,80.0,35,35,PASS
GPT_CoT,3040,solve_3040_v2,2,2,95.35,76.28,43,41,PASS
GPT_CoT,3040,solve_3040_v3,2,2,92.42,73.94,66,61,PASS
GPT_CoT,3177,solve_3177_v1,2,2,95.24,76.19,21,20,PASS
GPT_CoT,3177,solve_3177_v2,2,2,94.59,75.68,37,35,PASS
GPT_CoT,3177,solve_3177_v3,2,2,96.0,76.8,25,24,PASS
GPT_CoT,4245,solve_4245_v1,2,2,100.0,80.0,5,5,PASS
GPT_CoT,4245,solve_4245_v2,2,2,100.0,80.0,8,8,PASS
GPT_CoT,4245,solve_4245_v3,2,2,100.0,80.0,3,3,PASS
